"Category","Publications (total)"
2000,4070
2001,9192
2002,13398
2003,19207
2004,29246
2005,37269
2006,41919
2007,42800
2008,70572
2009,64495
2010,54111
2011,66133
2012,62558
2013,68053
2014,62566
2015,64019
2016,65191
2017,65468
2018,69858
2019,66383
2020,73163
2021,80227
2022,77576
2023,69181
2024,65398
